ImageNumber,ObjectNumber,FileName_GFP,Children_GFP_foci_Count
1,1,20240708-A19841_B01_s4_w2.TIF,20
1,2,20240708-A19841_B01_s4_w2.TIF,30
1,3,20240708-A19841_B01_s4_w2.TIF,0
1,4,20240708-A19841_B01_s4_w2.TIF,9
1,5,20240708-A19841_B01_s4_w2.TIF,24
1,6,20240708-A19841_B01_s4_w2.TIF,0
1,7,20240708-A19841_B01_s4_w2.TIF,108
1,8,20240708-A19841_B01_s4_w2.TIF,33
1,9,20240708-A19841_B01_s4_w2.TIF,6
1,10,20240708-A19841_B01_s4_w2.TIF,0
1,11,20240708-A19841_B01_s4_w2.TIF,2
1,12,20240708-A19841_B01_s4_w2.TIF,0
1,13,20240708-A19841_B01_s4_w2.TIF,36
1,14,20240708-A19841_B01_s4_w2.TIF,0
1,15,20240708-A19841_B01_s4_w2.TIF,50
1,16,20240708-A19841_B01_s4_w2.TIF,17
1,17,20240708-A19841_B01_s4_w2.TIF,19
1,18,20240708-A19841_B01_s4_w2.TIF,0
1,19,20240708-A19841_B01_s4_w2.TIF,45
1,20,20240708-A19841_B01_s4_w2.TIF,17
1,21,20240708-A19841_B01_s4_w2.TIF,23
1,22,20240708-A19841_B01_s4_w2.TIF,27
1,23,20240708-A19841_B01_s4_w2.TIF,68
1,24,20240708-A19841_B01_s4_w2.TIF,90
1,25,20240708-A19841_B01_s4_w2.TIF,65
1,26,20240708-A19841_B01_s4_w2.TIF,37
1,27,20240708-A19841_B01_s4_w2.TIF,26
1,28,20240708-A19841_B01_s4_w2.TIF,30
1,29,20240708-A19841_B01_s4_w2.TIF,32
1,30,20240708-A19841_B01_s4_w2.TIF,14
1,31,20240708-A19841_B01_s4_w2.TIF,8
1,32,20240708-A19841_B01_s4_w2.TIF,32
1,33,20240708-A19841_B01_s4_w2.TIF,34
1,34,20240708-A19841_B01_s4_w2.TIF,47
1,35,20240708-A19841_B01_s4_w2.TIF,8
1,36,20240708-A19841_B01_s4_w2.TIF,0
1,37,20240708-A19841_B01_s4_w2.TIF,6
1,38,20240708-A19841_B01_s4_w2.TIF,37
1,39,20240708-A19841_B01_s4_w2.TIF,51
1,40,20240708-A19841_B01_s4_w2.TIF,42
1,41,20240708-A19841_B01_s4_w2.TIF,33
1,42,20240708-A19841_B01_s4_w2.TIF,0
1,43,20240708-A19841_B01_s4_w2.TIF,104
1,44,20240708-A19841_B01_s4_w2.TIF,0
1,45,20240708-A19841_B01_s4_w2.TIF,52
1,46,20240708-A19841_B01_s4_w2.TIF,12
1,47,20240708-A19841_B01_s4_w2.TIF,19
1,48,20240708-A19841_B01_s4_w2.TIF,10
1,49,20240708-A19841_B01_s4_w2.TIF,63
1,50,20240708-A19841_B01_s4_w2.TIF,0
1,51,20240708-A19841_B01_s4_w2.TIF,14
1,52,20240708-A19841_B01_s4_w2.TIF,0
1,53,20240708-A19841_B01_s4_w2.TIF,5
1,54,20240708-A19841_B01_s4_w2.TIF,58
1,55,20240708-A19841_B01_s4_w2.TIF,26
1,56,20240708-A19841_B01_s4_w2.TIF,28
1,57,20240708-A19841_B01_s4_w2.TIF,21
1,58,20240708-A19841_B01_s4_w2.TIF,10
1,59,20240708-A19841_B01_s4_w2.TIF,0
1,60,20240708-A19841_B01_s4_w2.TIF,69
1,61,20240708-A19841_B01_s4_w2.TIF,67
1,62,20240708-A19841_B01_s4_w2.TIF,3
1,63,20240708-A19841_B01_s4_w2.TIF,86
1,64,20240708-A19841_B01_s4_w2.TIF,0
1,65,20240708-A19841_B01_s4_w2.TIF,0
1,66,20240708-A19841_B01_s4_w2.TIF,90
1,67,20240708-A19841_B01_s4_w2.TIF,77
1,68,20240708-A19841_B01_s4_w2.TIF,8
1,69,20240708-A19841_B01_s4_w2.TIF,7
1,70,20240708-A19841_B01_s4_w2.TIF,0
1,71,20240708-A19841_B01_s4_w2.TIF,9
1,72,20240708-A19841_B01_s4_w2.TIF,15
1,73,20240708-A19841_B01_s4_w2.TIF,0
1,74,20240708-A19841_B01_s4_w2.TIF,1
1,75,20240708-A19841_B01_s4_w2.TIF,0
1,76,20240708-A19841_B01_s4_w2.TIF,43
1,77,20240708-A19841_B01_s4_w2.TIF,25
1,78,20240708-A19841_B01_s4_w2.TIF,0
1,79,20240708-A19841_B01_s4_w2.TIF,2
1,80,20240708-A19841_B01_s4_w2.TIF,1
1,81,20240708-A19841_B01_s4_w2.TIF,94
1,82,20240708-A19841_B01_s4_w2.TIF,53
1,83,20240708-A19841_B01_s4_w2.TIF,47
1,84,20240708-A19841_B01_s4_w2.TIF,45
1,85,20240708-A19841_B01_s4_w2.TIF,6
1,86,20240708-A19841_B01_s4_w2.TIF,4
1,87,20240708-A19841_B01_s4_w2.TIF,54
1,88,20240708-A19841_B01_s4_w2.TIF,77
1,89,20240708-A19841_B01_s4_w2.TIF,8
1,90,20240708-A19841_B01_s4_w2.TIF,3
1,91,20240708-A19841_B01_s4_w2.TIF,35
1,92,20240708-A19841_B01_s4_w2.TIF,13
1,93,20240708-A19841_B01_s4_w2.TIF,0
1,94,20240708-A19841_B01_s4_w2.TIF,71
1,95,20240708-A19841_B01_s4_w2.TIF,24
1,96,20240708-A19841_B01_s4_w2.TIF,47
1,97,20240708-A19841_B01_s4_w2.TIF,0
1,98,20240708-A19841_B01_s4_w2.TIF,0
1,99,20240708-A19841_B01_s4_w2.TIF,2
1,100,20240708-A19841_B01_s4_w2.TIF,0
2,1,20240708-A19841_B02_s4_w2.TIF,6
2,2,20240708-A19841_B02_s4_w2.TIF,8
2,3,20240708-A19841_B02_s4_w2.TIF,0
2,4,20240708-A19841_B02_s4_w2.TIF,10
2,5,20240708-A19841_B02_s4_w2.TIF,47
2,6,20240708-A19841_B02_s4_w2.TIF,0
2,7,20240708-A19841_B02_s4_w2.TIF,27
2,8,20240708-A19841_B02_s4_w2.TIF,37
2,9,20240708-A19841_B02_s4_w2.TIF,0
2,10,20240708-A19841_B02_s4_w2.TIF,5
2,11,20240708-A19841_B02_s4_w2.TIF,12
2,12,20240708-A19841_B02_s4_w2.TIF,0
