key	value
RN:34157-83-0	CC1=C(O)C(=O)C=C2C1=CC=C3[C@@]2(C)CC[C@@]4(C)[C@@H]5C[C@@](C)(CC[C@]5(C)CC[C@]34C)C(O)=O
RN:3697-42-5	[H+].[H+].[Cl-].[Cl-].NC(Nc1ccc(Cl)cc1)=NC(N)=NCCCCCCN=C(N)N=C(N)Nc2ccc(Cl)cc2
RN:479-18-5	CN1C(=O)N(C)c2ncn(CC(O)CO)c2C1=O
RN:481-42-5	CC1=CC(=O)c2c(O)cccc2C1=O
RN:51411-04-2	OC(=O)CN1C(=O)c2cccc3cccc(C1=O)c23
RN:52-51-7	OCC(Br)(CO)[N+]([O-])=O
RN:54-64-8	[Na+].CC[Hg]Sc1ccccc1C([O-])=O
RN:5578-73-4	[Cl-].C[n+]1cc2c3OCOc3ccc2c4ccc5cc6OCOc6cc5c14
RN:583-03-9	CCCCC(O)c1ccccc1
RN:62-38-4	CC(=O)O[Hg]c1ccccc1
RN:622-78-6	S=C=NCc1ccccc1
RN:66-81-9	C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2
RN:67-48-1	[Cl-].C[N+](C)(C)CCO
RN:68797-31-9	O[N+]([O-])=O.Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1
RN:68890-66-4	CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO
RN:69-09-0	[H+].[Cl-].CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13
RN:73573-88-3	CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
RN:79794-75-5	CCOC(=O)N1CCC(CC1)=C2c3ccc(Cl)cc3CCc4cccnc24
RN:8025-81-8	CO[C@H]1[C@H](O)CC(=O)O[C@H](C)C/C=C/C=C/[C@H](OC2CCC(C(C)O2)N(C)C)[C@H](C)C[C@H](CC=O)[C@@H]1OC3OC(C)C(OC4CC(C)(O)C(O)C(C)O4)C(C3O)N(C)C
RN:82-92-8	CN1CCN(CC1)C(c2ccccc2)c3ccccc3
RN:97-77-8	CCN(CC)C(=S)SSC(=S)N(CC)CC
