key	value
CAS:|NM:DIHYDROCELASTRYL DIACETATE	CC(=O)Oc1cc2c(c(C)c1OC(C)=O)CC=C1[C@@]2(C)CC[C@@]2(C)C3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@]12C
CAS:13463-41-7|NM:PYRITHIONE ZINC	[O-][n+]1ccccc1[S-].[O-][n+]1ccccc1[S-].[Zn+2]
